time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-03-29 09:00:00+00:00,13.4,100155,27.915,28.1795
2022-03-29 10:00:00+00:00,7.4,100155,14.6725,14.6725
2022-03-29 11:00:00+00:00,5.0,100155,9.4165,9.4165
2022-03-29 12:00:00+00:00,8.1,100155,16.6645,16.677
2022-03-29 13:00:00+00:00,8.9,100155,18.381,18.527500000000003
2022-03-29 14:00:00+00:00,8.1,100155,16.53,16.7155
2022-03-29 15:00:00+00:00,4.2,100155,7.478,7.478
2022-03-29 16:00:00+00:00,4.1,100155,6.8135,6.8135
2022-03-29 17:00:00+00:00,2.3,100155,3.3325,3.3325
2022-03-29 18:00:00+00:00,1.5,100155,1.704,1.704
2022-03-29 19:00:00+00:00,1.0,100155,0.9465,0.9465
2022-03-29 20:00:00+00:00,1.1,100155,0.9565,0.9565
2022-03-29 21:00:00+00:00,0.9,100155,0.6485000000000001,0.6485000000000001
2022-03-29 22:00:00+00:00,0.8,100155,0.494,0.494
2022-03-29 23:00:00+00:00,0.8,100155,0.526,0.526
2022-03-30 00:00:00+00:00,2.0,100155,2.5395000000000003,2.5395000000000003
2022-03-30 01:00:00+00:00,16.3,100155,22.009,28.216
2022-03-30 02:00:00+00:00,33.9,100155,47.0085,62.061
2022-03-30 03:00:00+00:00,23.9,100155,38.808,45.798
2022-03-30 04:00:00+00:00,13.2,100155,24.542,26.04
2022-03-30 05:00:00+00:00,11.7,100155,22.0295,23.2555
2022-03-30 06:00:00+00:00,13.2,100155,25.475,27.317
2022-03-30 07:00:00+00:00,6.3,100155,11.7975,11.7975
2022-03-30 08:00:00+00:00,4.2,100155,7.371,7.371
2022-03-30 09:00:00+00:00,7.2,100155,14.2315,14.3865
2022-03-30 10:00:00+00:00,6.3,100155,12.2015,12.255
2022-03-30 11:00:00+00:00,4.3,100155,8.061,8.064
2022-03-30 12:00:00+00:00,15.9,100155,33.423500000000004,34.945
2022-03-30 13:00:00+00:00,15.5,100155,32.9575,34.084
2022-03-30 14:00:00+00:00,11.2,100155,23.178,23.965
2022-03-30 15:00:00+00:00,6.8,100155,13.169,13.169
2022-03-30 16:00:00+00:00,6.3,100155,11.553,11.5705
2022-03-30 17:00:00+00:00,3.8,100155,6.039,6.039
2022-03-30 18:00:00+00:00,4.9,100155,7.8265,7.8265
2022-03-30 19:00:00+00:00,6.2,100155,10.5405,10.5405
2022-03-30 20:00:00+00:00,3.5,100155,5.335,5.335
2022-03-30 21:00:00+00:00,3.5,100155,5.343,5.343
2022-03-30 22:00:00+00:00,3.3,100155,4.8525,4.8525
2022-03-30 23:00:00+00:00,3.3,100155,4.8955,4.8955
2022-03-31 00:00:00+00:00,3.4,100155,5.0795,5.15
2022-03-31 01:00:00+00:00,1.0,100155,1.0625,1.0625
2022-03-31 02:00:00+00:00,2.1,100155,2.906,2.906
2022-03-31 03:00:00+00:00,6.7,100155,11.204,12.0395
2022-03-31 04:00:00+00:00,12.1,100155,22.9655,23.296
2022-03-31 05:00:00+00:00,24.3,100155,39.5565,51.026
2022-03-31 06:00:00+00:00,42.7,100155,64.8215,90.952
2022-03-31 07:00:00+00:00,30.4,100155,51.075500000000005,65.66199999999999
2022-03-31 08:00:00+00:00,27.3,100155,48.569500000000005,59.667
2022-03-31 09:00:00+00:00,9.0,100155,18.408,18.5525
2022-03-31 10:00:00+00:00,5.1,100155,9.606,9.606
2022-03-31 11:00:00+00:00,4.1,100155,7.455999999999999,7.455999999999999
2022-03-31 12:00:00+00:00,8.8,100155,17.916,18.4535
2022-03-31 13:00:00+00:00,10.9,100155,22.6235,22.984
2022-03-31 14:00:00+00:00,5.2,100155,9.9885,9.9885
2022-03-31 15:00:00+00:00,3.0,100155,4.8375,4.8375
2022-03-31 16:00:00+00:00,5.5,100155,9.88,9.88
2022-03-31 17:00:00+00:00,1.8,100155,2.419,2.419
2022-03-31 18:00:00+00:00,1.0,100155,1.0375,1.0375
2022-03-31 19:00:00+00:00,0.4,100155,0.048,0.048
2022-03-31 20:00:00+00:00,1.1,100155,1.1965,1.1965
2022-03-31 21:00:00+00:00,0.9,100155,0.833,0.833
2022-03-31 22:00:00+00:00,0.8,100155,0.6585,0.6585
2022-03-31 23:00:00+00:00,0.8,100155,0.71,0.71
2022-04-01 00:00:00+00:00,0.2,100155,0.015,0.015
2022-04-01 01:00:00+00:00,3.2,100155,4.992,5.017
2022-04-01 02:00:00+00:00,6.0,100155,10.073,10.318
2022-04-01 03:00:00+00:00,17.4,100155,28.8665,34.252
2022-04-01 04:00:00+00:00,21.6,100155,36.7915,43.206
2022-04-01 05:00:00+00:00,12.6,100155,24.7935,24.8775
2022-04-01 06:00:00+00:00,21.2,100155,38.6545,43.453
2022-04-01 07:00:00+00:00,12.0,100155,23.612,23.9715
2022-04-01 08:00:00+00:00,14.8,100155,29.276,30.453
2022-04-01 09:00:00+00:00,13.6,100155,28.2065,28.307
2022-04-01 10:00:00+00:00,8.1,100155,16.0765,16.0815
2022-04-01 11:00:00+00:00,9.4,100155,17.1485,19.077
2022-04-01 12:00:00+00:00,4.2,100155,7.322,7.322
2022-04-01 13:00:00+00:00,8.8,100155,16.988500000000002,17.8445
2022-04-01 14:00:00+00:00,9.6,100155,19.178,19.4155
2022-04-01 15:00:00+00:00,4.7,100155,8.3785,8.3785
2022-04-01 16:00:00+00:00,3.5,100155,5.6305,5.6305
2022-04-01 17:00:00+00:00,2.3,100155,3.1895,3.1895
2022-04-01 18:00:00+00:00,1.9,100155,2.59,2.59
2022-04-01 19:00:00+00:00,1.7,100155,2.1095,2.1095
2022-04-01 20:00:00+00:00,1.7,100155,2.176,2.176
2022-04-01 21:00:00+00:00,1.4,100155,1.6905,1.6905
2022-04-01 22:00:00+00:00,1.8,100155,2.3920000000000003,2.3920000000000003
2022-04-01 23:00:00+00:00,1.1,100155,1.069,1.069
2022-04-02 00:00:00+00:00,2.6,100155,3.734,3.734
2022-04-02 01:00:00+00:00,2.9,100155,4.366,4.366
2022-04-02 02:00:00+00:00,15.8,100155,25.27,28.739
2022-04-02 03:00:00+00:00,14.9,100155,24.783,28.148
2022-04-02 04:00:00+00:00,24.0,100155,38.7455,47.5745
2022-04-02 05:00:00+00:00,13.8,100155,23.1085,26.579500000000003
2022-04-02 06:00:00+00:00,8.5,100155,15.803,15.803
2022-04-02 07:00:00+00:00,14.0,100155,26.4045,28.052
2022-04-02 08:00:00+00:00,5.5,100155,9.6215,9.6215
2022-04-02 09:00:00+00:00,9.9,100155,19.0905,19.3595
2022-04-02 10:00:00+00:00,5.2,100155,9.1845,9.1845
2022-04-02 11:00:00+00:00,4.9,100155,8.736,8.749
2022-04-02 12:00:00+00:00,3.9,100155,6.593,6.593
2022-04-02 13:00:00+00:00,2.3,100155,3.4735,3.4735
2022-04-02 14:00:00+00:00,4.7,100155,8.163,8.163
2022-04-02 15:00:00+00:00,4.0,100155,6.924,6.924
2022-04-02 16:00:00+00:00,5.1,100155,8.9915,8.9915
2022-04-02 17:00:00+00:00,4.2,100155,6.7485,6.967
2022-04-02 18:00:00+00:00,3.0,100155,4.577500000000001,4.577500000000001
2022-04-02 19:00:00+00:00,2.7,100155,3.991,3.991
2022-04-02 20:00:00+00:00,1.0,100155,1.0455,1.0455
2022-04-02 21:00:00+00:00,0.5,100155,0.1625,0.1625
2022-04-02 22:00:00+00:00,0.7,100155,0.6015,0.6015
2022-04-02 23:00:00+00:00,0.8,100155,0.702,0.702
2022-04-03 00:00:00+00:00,2.9,100155,4.373,4.374
2022-04-03 01:00:00+00:00,3.1,100155,4.484,4.5215
2022-04-03 02:00:00+00:00,10.1,100155,17.4875,17.854
2022-04-03 03:00:00+00:00,16.9,100155,27.948,32.155
2022-04-03 04:00:00+00:00,21.7,100155,36.493,43.6335
2022-04-03 05:00:00+00:00,12.0,100155,21.9725,23.4735
2022-04-03 06:00:00+00:00,14.9,100155,28.559,30.19
2022-04-03 07:00:00+00:00,15.8,100155,29.95,32.421499999999995
2022-04-03 08:00:00+00:00,4.0,100155,6.841,6.888999999999999
2022-04-03 09:00:00+00:00,3.5,100155,5.739,5.739
2022-04-03 10:00:00+00:00,2.5,100155,3.793,3.793
2022-04-03 11:00:00+00:00,2.0,100155,2.6075,2.6075
2022-04-03 12:00:00+00:00,1.8,100155,2.311,2.311
2022-04-03 13:00:00+00:00,3.8,100155,6.545,6.545
2022-04-03 14:00:00+00:00,5.3,100155,9.704,9.744
2022-04-03 15:00:00+00:00,2.2,100155,3.0785,3.0785
2022-04-03 16:00:00+00:00,1.6,100155,2.1075,2.1075
2022-04-03 17:00:00+00:00,1.1,100155,1.133,1.133
2022-04-03 18:00:00+00:00,1.1,100155,1.1295,1.1295
2022-04-03 19:00:00+00:00,0.9,100155,0.7324999999999999,0.7324999999999999
2022-04-03 20:00:00+00:00,0.9,100155,0.6930000000000001,0.6930000000000001
2022-04-03 21:00:00+00:00,0.9,100155,0.729,0.729
2022-04-03 22:00:00+00:00,1.1,100155,1.1305,1.1305
2022-04-03 23:00:00+00:00,1.4,100155,1.6475,1.6475
2022-04-04 00:00:00+00:00,1.6,100155,1.974,1.974
2022-04-04 01:00:00+00:00,2.1,100155,2.8215000000000003,2.8215000000000003
2022-04-04 02:00:00+00:00,1.7,100155,2.1825,2.1825
2022-04-04 03:00:00+00:00,1.0,100155,1.0015,1.0015
2022-04-04 04:00:00+00:00,1.1,100155,1.154,1.154
2022-04-04 05:00:00+00:00,1.3,100155,1.436,1.436
2022-04-04 06:00:00+00:00,1.2,100155,1.2175,1.2175
2022-04-04 07:00:00+00:00,1.2,100155,1.2334999999999998,1.2334999999999998
2022-04-04 08:00:00+00:00,1.3,100155,1.3705,1.3705
2022-04-04 09:00:00+00:00,1.6,100155,2.0105,2.0105
2022-04-04 10:00:00+00:00,1.7,100155,2.0620000000000003,2.0620000000000003
2022-04-04 11:00:00+00:00,1.6,100155,1.946,1.946
2022-04-04 12:00:00+00:00,1.7,100155,2.193,2.193
2022-04-04 13:00:00+00:00,1.9,100155,2.6105,2.6105
2022-04-04 14:00:00+00:00,1.9,100155,2.63,2.63
2022-04-04 15:00:00+00:00,1.7,100155,2.172,2.172
